year,position,artist,title
2008,78,Shayne Ward,Breathless
2008,79,Michael Buble,Lost
2008,80,Freemasons featuring Bailey Tzuke,Uninvited
2008,81,Leona Lewis,Footprints In The Sand
2008,82,Gnarls Barkley,Run
2008,83,Paramore,Misery Business
2008,84,T-Pain featuring Teddy Verseti,Church
2008,85,Guillemots,Get Over It
2008,86,We Are Scientists,After Hours
2008,87,Craig David,6 Of 1 Thing
2008,88,Mariah Carey,Touch My Body
2008,89,Usher featuring Young Jeezy,Love In This Club
2008,90,Foo Fighters,The Pretender
2008,91,Michael Jackson featuring Will I Am,The Girl Is Mine
2008,92,Westlife,Home
2008,93,Natasha Bedingfield featuring Sean Kingston,Love Like This
2008,94,Kaiser Chiefs,Ruby
2008,95,Simple Plan,When I'm Gone
2008,96,Gabriella Cilmi,Sweet About Me
2008,97,Amy Winehouse,Rehab
2008,98,Ida Corr vs Fedde Le Grand,Let Me Think About It
2008,99,Mika,Grace Kelly
2008,100,Elliot Minor,Still Figuring Out
2009,1,LADY GAGA,POKER FACE
2009,2,BLACK EYED PEAS,I GOTTA FEELING
2009,3,LA ROUX,IN FOR THE KILL
2009,4,LADY GAGA,JUST DANCE
2009,5,KINGS OF LEON,SEX ON FIRE
2009,6,KINGS OF LEON,USE SOMEBODY
2009,7,BLACK EYED PEAS,BOOM BOOM POW
2009,8,JAMES MORRISON / NELLY FURTADO,BROKEN STRINGS
2009,9,DAVID GUETTA FT AKON,SEXY CHICK
2009,10,JAY-Z FT ALICIA KEYS,EMPIRE STATE OF MIND
2009,11,TINCHY STRYDER FT N-DUBZ,NUMBER 1
2009,12,LADY GAGA,PAPARAZZI
2009,13,LILY ALLEN,THE FEAR
2009,14,AR RAHMAN FT PUSSYCAT DOLLS,JAI HO (YOU ARE MY DESTINY)
